Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Кабалюк,Сніжана,Миронівна,female,1971-01-11,Намотувальник,село Щастя ,"вулиця Мирна, буд. 11 кв. 53, Краматорськ, 12156",275 69 23,uneporozhnii@example.org
Товстуха,Герман,Михайлович,male,1950-05-19,Ґрунтознавець,селище Почаїв,"узвіз Трояндова, буд. 4, Хорол , 05040",+380 (56) 273-81-18,vladyslav87@example.net
Ємельяненко,Володимира,Святославівна,female,1991-08-31,Геофізик,місто Сватове,"проспект Матюшенка, буд. 52, Теребовля, 69513",+380 29 661-51-09,petro53@example.com
Черінько,Емілія,Ігнатівна,female,2002-12-06,Няня,місто Вугледар,"провулок Офіцерський 1-й, буд. 5, Самбір, 23006",311-64-63,lizapylypenko@example.net
Іваничук,Онисим,Юхимович,male,1939-11-05,Хореограф,селище Ромни,"проспект Сабанський, буд. 1, Нова Каховка, 31527",+380 56 829 15 70,solomonkaras@example.org
Левченко,Мартин,Амвросійович,male,1976-02-10,Шериф,село Біляївка,"шосе Садиковська, буд. 9, Лубни, 20901",093 543 30 01,shtepazlatoslava@example.net
Воблий,Феофан,Леонідович,male,1975-10-13,Шериф,село Верхівцеве,"шосе Юннатів, буд. 24, Угнів, 20016",+380 (18) 888-14-62,chmilmykolai@example.com
Чумаченко,Ярина,Давидівна,female,1944-08-26,Філолог,селище Сватове,"провулок Амурський 4-й, буд. 221, Трускавець, 84671",164 09 62,tetianavyshniak@example.com
Адамчук,Леон,Давидович,male,1971-04-19,Гицель,селище Броди,"набережна Художника Федорова, буд. 188 кв. 755, Нетішин, 27962",+380 23 847-29-51,nskyba@example.com
Гаврилець,Мартин,Данилович,male,2005-04-12,Палеонтолог,хутір Жашків,"узвіз Кутова, буд. 4 кв. 08, Здолбунів, 56865",553-12-69,demian72@example.com
Примаченко,Соломія,Аврелійовна,female,1978-12-03,Локсмайстер,селище Тлумач,"шосе Лузанівський 2-й, буд. 080, Кременчук, 49656",+380 (68) 128-50-40,verhunviktor@example.org
Таран,Володимир,Бориславович,male,1987-11-08,Електромонтер,місто Тальне,"провулок Іванова 1-й, буд. 5 кв. 2, Армянськ, 41684",651 83 85,bohodar51@example.net
Бабак,Михайлина,Мирославівна,female,1992-11-02,Дизайнер,село Куп'янськ,"сквер Горіхова, буд. 620 кв. 47, Жашків, 02043",001 653-37-70,komarspas@example.org
Ващенко-Захарченко,Віталій,Юхимович,male,1965-10-25,Мистецтвознавець,хутір Новодністровськ,"вулиця Щіпний, буд. 769 кв. 43, Перечин, 13253",086 715-52-44,gvysochan@example.net
Франчук,Марія,Гордіївна,female,1959-10-16,Програміст,місто Стебник,"провулок Рибальська, буд. 60 кв. 1, Приморськ (Україна), 88923",+380 96 374-59-35,iarynavashchenko@example.net
Бандера,Болеслав,Арсенович,male,1972-06-23,Фермер,місто Яворів,"проспект Незалежності, буд. 34, Керч, 78933",042 225-26-98,izasiadko@example.net
Чайка,Вʼячеслав,Августинович,male,1965-04-22,Гірник,село Нова Каховка,"провулок Слєпньова, буд. 472, Ірміно, 31750",195-50-98,olytvynenko@example.org
Швачко,Богуслава,Мирославівна,female,1987-02-12,Живописець,хутір Гірське,"проспект Азербайджан, буд. 078 кв. 9, Щолкіне, 40093",+380 84 441-04-43,rostyslav15@example.com
Дерегус,Демид,Едуардович,male,1986-01-01,Кіноактор,село Сторожинець,"сквер Суперфосфатна, буд. 78 кв. 7, Монастириська, 77607",041-96-27,babiakamvrosii@example.org
Артеменко,Пантелеймон,Валерійович,male,1976-09-29,Бібліотекар,місто Генічеськ,"провулок Рішельєвська, буд. 2 кв. 78, Севастополь, 95972",+380 67 952-28-93,kzhuk@example.net
Батюк,Анжела,Федорівна,female,1943-01-09,Гірничий інженер,хутір Апостолове,"площа Дорожня, буд. 8 кв. 26, Алмазна, 27565",322 69 69,baidaiaroslava@example.org
Яценко,Амвросій,Орхипович,male,1944-12-06,Географ,селище Соледар,"шосе Акордна, буд. 775 кв. 8, Чорнобиль, 74523",056 475-23-93,priskavakhnii@example.com
Євтушенко,Ярема,Адамович,male,1955-06-14,Астронавт,хутір Самбір,"сквер Бокаріуса Миколи, буд. 5 кв. 928, Снятин, 86884",077 508-45-34,solomonieshchenko@example.net
Юрчук,Камілла,Гордіївна,female,2006-08-27,Археолог,село Прип'ять ,"площа Лінія 32-га, буд. 2, Вилкове, 41810",093 238 82 92,liubov48@example.com
Якименко,Соломія,Ростиславівна,female,2001-12-03,Стоматолог,місто Світловодськ,"провулок Мічуріна, буд. 6, Підгайці, 71290",+380 (45) 697-09-51,zinkevychdmytro@example.net
Величко,Сергій,Артемович,male,1943-10-09,Ді-джей,хутір Глухів,"парк Професора Каришковського, буд. 966, Щолкіне, 39436",+380 34 305 72 71,hreserika@example.org
Терещук,Валентина,Зорянівна,female,1978-09-29,Електрослюсар,селище Рогатин,"площа Текстильників, буд. 40 кв. 821, Володимир-Волинський, 72188",+380 76 356-99-56,rderhach@example.net
Гаврилюк,Михайло,Леонідович,male,2005-08-18,Сценарист,село Вишневе ,"проспект Фестивальний, буд. 0, Олевськ, 36724",+380 (78) 059-50-07,arkadii73@example.net
Дрозденко,Віолетта,Петрівна,female,1968-04-09,Мистецтвознавець,селище Городок,"узвіз Щоглова, буд. 87 кв. 72, Голубівка, 47792",+380 98 437-06-19,pylypkalenychenko@example.com
Опанасенко,Єва,Глібівна,female,2004-09-16,Парфюмер,село Кілія,"проспект 12-та ст. Великого Фонтану пляж, буд. 0, Нікополь, 43068",+380 94 627-82-98,odarkaskorobohatko@example.com
Базилевська,Володимира,Богданівна,female,1965-06-09,Реабілітолог,хутір Дубровиця,"набережна Партизанської Слави, буд. 5 кв. 90, Знам'янка, 26611",723-20-07,odarka82@example.com
Деревʼянко,Єлисей,Ааронович,male,1992-08-26,Співак,село Авдіївка,"узвіз Колонтаївська, буд. 83, Зміїв, 40447",014 658 82 13,lukian94@example.com
Вдовиченко,Юстина,Андріївна,female,1980-11-14,Єгер,хутір Скалат,"шосе Пассіонарії, буд. 3, Добромиль, 92527",+380 44 730 16 59,olytvyn@example.net
Цюцюра,Марія,Олегівна,female,1997-01-05,Географ,село Бахмач,"проспект Космонавтів, буд. 027 кв. 211, Маріуполь, 37332",260 16 43,nvernyhora@example.org
Скиба,Ігнат,Артемович,male,1986-06-12,Кур'єр,село Новояворівськ,"проспект Ліверпульський, буд. 92 кв. 145, Яремче, 32793",+380 14 736-17-24,tryhubsymon@example.org
Демʼянюк,Віолетта,Вадимівна,female,2001-09-27,Архітектор,хутір Вашківці,"вулиця Тещин міст, буд. 29 кв. 2, Бурштин , 49544",+380 14 224 24 03,marko94@example.com
Онуфрієнко,Софія,Єфремівна,female,1999-02-18,Гірник,село Ямпіль,"узвіз Шишкіна 2-й, буд. 35, Золотоноша, 62133",+380 35 171-20-46,solomiia82@example.net
Павленко,Марта,Стефанівна,female,1975-11-15,Локсмайстер,село Трускавець,"провулок Градоначальницька, буд. 27 кв. 570, Корсунь-Шевченківський, 09345",+380 28 703-15-70,ymykhailiuk@example.net
Каденюк,Ада,Русланівна,female,1984-06-24,Історик,місто Долина ,"площа Ковалевського узвіз, буд. 2 кв. 0, Новоселиця, 81953",070 016 51 50,wdzhun@example.org
